
Attack;                Date; Profilename; SearchCount; Attacksides;  ResIN; ResOUT; ResBySide; OppThlevel; OppGold;  OppElixir;  OppDE; OppTrophies; PerDamage; PerResources; LootGold; LootElixir; LootDE; League; BonusGold; BonusElixir; BonusDE;
   129; 08/12/2018 00:12:00;TH12-MA[MAA];          15;           4;      2;     13;   4|3|4|4;       TH11;  550855;     586154;   5518;          30;      100%;      100.00%;   550855;     586154;   5518;     M1;    160000;      160000;     920;
   130; 08/12/2018 00:44:11;TH12-MA[MAA];           6;           2;      7;      9;   2|5|8|1;       TH11;  481597;     524325;   3583;          25;      100%;      100.00%;   481597;     524325;   3583;     M1;    160000;      160000;     920;
   131; 08/12/2018 01:18:51;TH12-MA[MAA];          14;           3;      6;      9;   2|3|7|3;        TH-;  235936;     483984;   3639;          31;       65%;       63.21%;   211070;     244377;   1892;     M1;    152000;      152000;     874;
   132; 08/12/2018 10:59:13;TH12-MA[MAA];          14;           3;      2;     14;   6|5|0|5;       TH11;  351227;     369195;   3254;          32;      100%;      100.00%;   351227;     369195;   3254;     M1;    160000;      160000;     920;
   133; 08/12/2018 11:32:34;TH12-MA[MAA];          15;           2;      6;     10;   5|6|2|3;       TH12;  690950;     645936;   2773;          23;       78%;       88.41%;   605493;     576080;   2773;     M1;    160000;      160000;     920;
   134; 08/12/2018 12:20:22;TH12-MA[MAA];         105;           3;      7;      8;   4|4|5|2;       TH11;  476015;     486829;   3730;          22;      100%;      100.00%;   476015;     486829;   3730;     M1;    160000;      160000;     920;
   135; 08/12/2018 12:54:09;TH12-MA[MAA];          98;           4;      1;     13;   5|2|3|4;       TH11;  464166;     351211;   1103;          17;      100%;      100.00%;   464166;     351211;   1103;     M1;    160000;      160000;     920;
   136; 08/12/2018 13:32:48;TH12-MA[MAA];         161;           3;      4;     11;   1|4|3|7;       TH12;  177210;     476747;   3932;          25;       72%;       64.13%;   153794;     266866;   1215;     M1;    160000;      160000;     920;
   137; 08/12/2018 14:35:43;TH12-MA[MAA];         247;           1;     12;      4;   3|5|4|4;       TH11;  675151;     557323;   2906;          18;      100%;      100.00%;   675151;     557323;   2906;     M1;    160000;      160000;     920;
   138; 08/12/2018 14:47:22;TH12-MA[MAA];          15;           3;      4;     11;   2|7|3|3;       TH11;  360043;     415757;   1879;          26;       81%;       71.87%;   227647;     329376;   1879;     M1;    160000;      160000;     920;
   139; 08/12/2018 15:50:34;TH12-MA[MAA];         160;           4;      1;     15;   3|4|5|4;       TH11;  361225;     297042;   2006;          28;      100%;      100.00%;   361225;     297042;   2006;     M1;    160000;      160000;     920;
   140; 08/12/2018 16:08:28;TH12-MA[MAA];         160;           3;      4;     13;   5|4|3|5;       TH11;  361225;     297042;   2006;          28;       79%;       68.29%;   241873;     207643;   1356;     C3;    200000;      200000;    1220;
   141; 08/12/2018 16:52:06;TH12-MA[MAA];          30;           4;      2;     14;   3|5|3|5;       TH12;  517028;     505483;   4774;          24;       71%;       95.71%;   487018;     493323;   2858;     C3;    200000;      200000;    1220;
   142; 08/12/2018 17:32:26;TH12-MA[MAA];           8;           3;     10;      6;   3|4|4|5;       TH11;  412753;     405957;   3546;          26;      100%;      100.00%;   412753;     405957;   3546;     M1;    160000;      160000;     920;
   143; 08/12/2018 18:05:09;TH12-MA[MAA];           7;           1;      9;      3;   2|4|4|2;       TH11;  437391;     563708;   4111;          19;       52%;       56.67%;   252599;     316194;    871;     M1;    131200;      131200;     754;
   144; 08/12/2018 18:45:32;TH12-MA[MAA];           5;           4;      2;     13;   4|4|3|4;       TH11;  289645;     273729;   3240;          17;       71%;       99.81%;   289645;     273729;   2160;     M1;    160000;      160000;     920;
   145; 08/12/2018 19:19:40;TH12-MA[MAA];          12;           2;      8;      7;   7|6|1|1;       TH11;  431936;     505843;   3651;          28;      100%;      100.00%;   431936;     505843;   3651;     M1;    160000;      160000;     920;
   146; 08/12/2018 19:57:46;TH12-MA[MAA];          76;           3;      6;      6;   3|3|4|2;       TH11;  340832;     353002;    393;          19;      100%;      100.00%;   340832;     353002;    393;     M1;    160000;      160000;     920;
   147; 08/12/2018 20:27:59;TH12-MA[MAA];          50;           3;      9;      8;   5|5|2|5;       TH12;  638167;     661103;   1568;          18;      100%;      100.00%;   638167;     661103;   1568;     M1;    160000;      160000;     920;
   148; 08/12/2018 21:28:18;TH12-MA[MAA];          85;           3;      5;     12;   6|4|2|5;       TH11;  389245;     347708;   3113;          20;       93%;       93.22%;   389245;     297521;   3113;     M1;    160000;      160000;     920;
   149; 08/12/2018 22:10:21;TH12-MA[MAA];          17;           4;      2;     15;   5|6|4|2;       TH11;  361802;     319543;   2562;          29;       91%;       89.77%;   326876;     284538;   2562;     M1;    160000;      160000;     920;
   150; 08/12/2018 22:50:50;TH12-MA[MAA];          21;           4;      2;     13;   4|5|3|3;       TH12;  731594;     731593;   7392;          25;       63%;       66.16%;   529241;     439240;   4455;     M1;    148800;      148800;     855;
   151; 08/12/2018 23:33:46;TH12-MA[MAA];          15;           3;      6;      9;   5|2|3|5;       TH12;  247193;     247414;   1761;          26;      100%;      100.00%;   247193;     247414;   1761;     M1;    160000;      160000;     920;
   152; 08/13/2018 00:15:50;TH12-MA[MAA];          27;           3;      4;     13;   6|4|6|1;       TH11;  402437;     418294;   3261;          16;       98%;      100.00%;   402437;     418294;   3261;     M1;    160000;      160000;     920;
   153; 08/13/2018 00:56:40;TH12-MA[MAA];           4;           2;      4;     12;   6|6|2|2;       TH11;  375711;     453372;   6101;          23;       99%;       99.77%;   375711;     453372;   4205;     M1;    160000;      160000;     920;
